num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
983,23665.96317,-2.70E-06,150244.7725,2.66E-05,972884.6662,8083.223072,983,YES,Strathfield_SouthDean St and Water St,889224.308
984,3024.268264,1.00E-07,12855.52184,3.20E-06,61473.06814,-3.98E-06,984,YES,Enfield Marsharlling Yards_East Side,1617298.52
999,37481.17119,-1.02E-06,147152.3533,2.61E-05,729847.5041,2595.151345,999,YES,Wentworthville_Veron St,239941.6907
1000,9102.390479,-5.00E-07,56052.59302,2.90E-07,200462.0382,1.36E-05,1000,YES,Girraween Public School,883282.1354
1001,5976.302988,-5.00E-07,30657.73225,-1.97E-06,149756.5835,-5.82E-06,1001,YES,Girraween Industrial Area,1107355.414
1002,10370.90003,1.50E-06,63756.01429,3.92E-06,198836.5795,-1.55E-05,1002,YES,Girraween High School,752986.3701
1003,13588.61627,-1.99E-06,121235.4097,-1.80E-05,414755.8403,-3.78E-05,1003,YES,Pendle Hill Station_South,356557.2264
1004,3823.204548,-1.60E-07,50348.80606,-1.18E-06,171188.289,-2.93E-05,1004,YES,Pendle Hill_West,769744.5421
1005,4097.453189,-3.10E-07,98114.86597,-4.12E-06,240782.8696,-3.53E-05,1005,YES,Wentworthville_Layton St and Dunmore St,751410.1338
1006,46838.22196,-2.81E-06,174437.3046,-4.23E-05,860006.2693,271.1043897,1006,YES,Wentworthville Station_South,249561.5135
1007,103879.3089,3.15E-05,637266.7857,2.27E-05,1303767.168,12770.72871,1007,YES,Westmead Station_South,322920.2668
1008,4167.539356,-1.60E-07,70266.2582,-4.58E-06,175314.4454,4.04E-05,1008,YES,Pendle Hill_East,583631.7697
1009,76153.40605,7.80E-07,371765.5182,-3.82E-06,1135935.004,5201.046329,1009,YES,Westmead_M.J. Bennett Reserve,461530.8443
1010,31374.42986,-1.68E-06,150772.2737,-2.18E-05,347676.2751,1.72E-05,1010,YES,Westmead,561106.992
1011,50970.11379,3.19E-06,172544.1,4.72E-05,844267.114,4070.220235,1011,YES,Westmead_Hawkesbury Rd and Amos St,605146.9479
1012,22159.26602,-1.18E-06,126103.1185,8.44E-06,319813.0138,2.97E-05,1012,YES,Wentworthville_Smith st and Garfield st,381183.172
1013,64062.24201,3.30E-07,198821.9335,1.04E-05,821857.6974,5667.176079,1013,YES,Mays Hill Cemetery,356026.5045
1014,898.8967064,0.00E+00,61095.37149,-4.49E-06,130128.8617,1.43E-05,1014,YES,The Kings School,2182612.907
1015,58984.21447,4.00E-07,148137.2105,7.18E-06,496476.3765,4.75E-05,1015,YES,North Parramatta,261032.6389
1016,36750.03388,4.10E-06,106351.9859,6.12E-06,314171.8575,-2.10E-05,1016,YES,North Parramatta_Belmore Park,592381.6039
1017,49383.04319,3.00E-07,107853.5443,-2.45E-05,322515.8889,1.67E-05,1017,YES,North Parramatta_Bellevue St and Burnside St,271917.5018
1018,54884.15701,4.00E-06,124455.7443,-1.63E-05,366546.2699,-3.68E-05,1018,YES,Parramatta Correctional Centre,476675.2838
1019,81522.84738,-1.40E-06,201683.3145,-1.04E-05,951475.6448,143.0855812,1019,YES,North Parramatta_O'Connell St and Albert St,227143.8013
1020,52767.19291,-4.83E-06,124634.1673,-4.98E-05,364288.2727,-3.36E-05,1020,YES,North Parramatta_Buller St and Isabella St,387460.2697
1021,60585.03934,1.07E-06,146962.1546,2.94E-05,697128.5593,1005.412241,1021,YES,North Parramatta_Albert St and Sorrell St,144380.4524
1022,34607.63273,-1.13E-06,95643.97038,2.35E-06,264136.6935,2.88E-05,1022,YES,Parramatta_Webb St and Isabella St,764352.7157
1023,81270.30756,1.57E-06,205120.8385,-4.80E-05,935330.7788,5608.238294,1023,YES,Parramatta_St Patricks Primary School,118149.561
1024,65851.11667,-3.14E-06,162874.2953,-4.57E-05,768423.6764,-4.98E-05,1024,YES,Parramatta_Grose St and Sorrell St,128574.5236
1025,89622.21987,5.00E-07,251604.3692,-8.45E-06,1017261.339,350.3689821,1025,YES,Parramatta_Parramatta Stadium,342870.802
1026,80045.71793,-2.14E-06,306247.5953,1.33E-05,1029765.633,4706.104983,1026,YES,Marsden Rehabilitation Centre,124479.9525
1027,70649.88282,2.46E-06,204160.7584,-4.42E-05,929514.8603,1063.917311,1027,YES,Macarthur Girls High School,380438.5292
1028,56813.14789,3.17E-06,130031.8966,-1.54E-05,480998.6837,-1.83E-05,1028,YES,Parramatta_Broughton St,296580.8431
1029,66460.97588,-4.14E-06,144025.129,3.23E-05,523666.6064,-6.03E-06,1029,YES,Parramatta_Morton St and Pemberton Ln,348565.613
1030,222862.4044,4.93E-05,871196.4898,16972.59317,1527692.63,9100.520482,1030,YES,Parramatta_Horwood Pl and Macquarie St,47906.33718
1031,17856.72843,-1.10E-06,311150.2268,1.65E-05,914630.178,2740.867556,1031,YES,Darling Mills State Forest North Rocks,1660079.014
1032,2647.176045,-2.00E-07,46887.90026,-2.47E-06,239977.7665,-1.81E-05,1032,YES,Westfield North Rocks,1198126.155
1033,4836.413884,-1.00E-07,35800.92221,3.40E-06,211301.9186,7.93E-06,1033,YES,Pure Milk,937373.9999
1034,4410.515376,-2.00E-07,17769.50635,3.61E-06,89989.98115,-4.90E-07,1034,YES,North Rocks,1131453.961
1035,8649.905449,3.00E-07,70540.97556,5.00E-07,178840.2496,-2.22E-05,1035,YES,North Rocks_Speers Road Reserve,439774.6156
1036,81009.52209,-2.85E-06,260727.7579,4.30E-05,1016788.807,1736.115035,1036,YES,Westmead_WSU Westmead Campus,181182.5058
1037,33645.21563,-4.50E-07,130475.2459,-2.78E-05,729601.7144,3520.300582,1037,YES,Westmead_Darcy Rd and Bridge Rd,119639.7488
1038,14819.00457,1.00E-07,131507.5955,3.71E-05,708374.6713,1188.103193,1038,YES,Northmead,538215.5561
1039,12740.14451,-1.90E-06,115160.8641,3.88E-05,578421.0578,1.87E-05,1039,YES,Baulkham Hills_The Willows Retirement Village,528877.2207
1040,7906.143347,2.00E-07,79300.09982,1.67E-06,237299.1093,-1.24E-05,1040,YES,Northmead Plaza,1254810.465
1041,26806.8481,-4.10E-06,117548.4535,3.80E-05,375155.752,4.71E-05,1041,YES,Moxham Park,641214.1911
1042,26846.9407,2.60E-07,111922.273,1.69E-05,262767.8635,-1.49E-05,1042,YES,Northmead_Arthur Phillip Park,550905.8742
1043,51519.96806,-1.00E-06,118130.8026,3.04E-05,308374.9534,-3.86E-05,1043,YES,James Ruse Business Park,186040.5439
1044,41989.39842,3.55E-06,155265.7093,-2.08E-05,588826.2459,-1.65E-05,1044,YES,Coca-Cola,676133.6599
1045,54306.97248,2.25E-06,165712.9216,4.25E-05,855890.0855,1554.770392,1045,YES,Westmead Hospital,649945.6051
1046,55578.42776,-2.50E-07,166334.2191,-7.48E-06,769574.4947,3.69E-05,1046,YES,Westmead Private Hospital,148187.1448
1047,38067.32171,6.50E-07,131271.9087,1.87E-05,720714.726,3520.300542,1047,YES,Westmead_Railway St and Water St,181213.9116
1048,85503.28959,5.50E-07,347186.6173,1.92E-05,1084773.472,3976.683452,1048,YES,Westmead Station_North,266066.7725
1049,87658.835,-2.65E-06,625785.7538,919.0533181,1252087.183,4018.103149,1049,YES,Parramatta CBD_Phillip St and Marsden St,78983.36438
1050,116456.3608,2.17E-05,703984.6922,-2.92E-05,1359188.393,4599.8039,1050,YES,Garfield Barwick Law Courts Building,51132.11797
1051,66854.3384,4.90E-06,162546.8643,2.09E-05,823976.6472,2725.876418,1051,YES,Parramatta Regional Park,547205.4535
1052,93658.88147,-4.65E-06,620315.1925,4.90E-05,1286554.51,9177.95707,1052,YES,Parramatta CBD_Crowne Plaza,86733.72565
1053,108129.7316,2.95E-05,608709.0245,2108.384508,1287319.922,2130.163739,1053,YES,St. John's Cathedral,85431.14473
1054,92655.14738,4.65E-06,602755.8594,-3.56E-05,1275241.576,13655.18892,1054,YES,Parramatta_Octagon Building,67697.42272
1055,148631.0872,-7.56E-06,820261.2316,1102.972228,1544090.405,3915.586455,1055,YES,Parramatta Station_North,53897.1915
1056,95825.51882,3.24E-06,418750.3657,-4.62E-05,1177859.883,1819.970431,1056,YES,Parramatta High School,344678.4049
1057,126922.6238,1.23E-05,522186.9116,1.88E-05,1377311.945,2287.32233,1057,YES,Parramatta Public School,77315.70672
1058,110225.3007,3.50E-05,563009.9301,-3.17E-05,1313881.579,2815.778639,1058,YES,Westfield Parramatta CBD,109789.4487
1059,146307.3087,4.78E-05,740863.6442,5649.557267,1457460.057,5081.345853,1059,YES,Parramatta Station_South,75871.99855
1060,77207.34782,-1.26E-06,221725.6685,-4.17E-05,1006900.492,844.6728366,1060,YES,Queens Wharf Park,301706.7553
1061,85316.49355,2.43E-06,225399.477,-4.85E-06,968265.298,1.74E-05,1061,YES,Elizabeth Farmhouse Rosehill,383328.797
1062,97162.75456,5.40E-07,307312.3631,-1.18E-05,1189617.306,6159.954102,1062,YES,Harris Park_Albion St and Una St,120060.9643
1063,67267.35253,-2.91E-06,207589.0116,-3.04E-05,947457.8146,9.12E-06,1063,YES,Parramatta_Bobart St and Glebe St,329486.1951
1064,66058.99644,3.29E-06,205201.557,3.28E-06,913588.907,2.66E-05,1064,YES,Parramatta_Inkerman St and Dixon St,147740.6412
1065,73454.92444,-6.70E-07,245110.3321,2.16E-05,1015040.48,783.430285,1065,YES,Parramatta_High St and Raymond St,129743.5272
1066,56402.91845,-4.81E-06,180108.9043,4.45E-05,774322.4861,6974.412002,1066,YES,Mays Hill,312357.4532
1067,57423.8132,-4.90E-06,170447.2483,-2.07E-06,514139.6301,-4.92E-05,1067,YES,Harris Park,347132.6229
1068,10124.45253,-4.80E-06,93201.19194,1.93E-06,234143.5774,3.28E-05,1068,YES,Rosehill Station,983029.404
1069,68965.06908,-4.87E-06,235276.4988,-3.03E-05,938367.5985,1569.085713,1069,YES,Harris Park Station,138733.8676
1070,35384.52513,-3.52E-06,130584.8165,-3.23E-05,335645.8441,-1.01E-05,1070,YES,Rosehill,271800.319
1071,6178.728176,-4.00E-07,21343.10853,4.80E-06,109862.7904,3.67E-05,1071,YES,Rosehill_Industrial Area,451611.7412
1072,52835.72444,-4.10E-07,138681.6709,2.06E-05,522728.0704,1.19E-05,1072,YES,Holroyd_Marsden St and Meehan St,274156.3082
1073,73372.34963,3.57E-06,265770.9331,-4.55E-05,1007351.741,-0.00026137,1073,YES,Parramatta Ferry Wharf,36970.51865
1074,88433.29057,1.95E-06,596221.7457,2.20E-05,1253946.916,5264.312464,1074,YES,Parramatta - Arthur Phillip High School,47318.77532
1075,15819.99323,-4.30E-06,130342.8303,2.77E-05,279683.3273,-3.30E-05,1075,YES,Johnstons Bridge Winston Hills,698285.1309
1076,23782.44483,1.90E-06,159314.4003,-2.56E-05,562664.368,-3.39E-05,1076,YES,Toongabbie Station_East,1121578.712
1077,25795.0312,4.76E-06,113909.318,-5.98E-06,264526.6033,-2.62E-06,1077,YES,Baxter Healthcare,1169546.1
1078,10063.02952,1.10E-06,75941.79826,2.63E-06,208715.1299,3.28E-05,1078,YES,Binalong Park,661281.8787
1079,17015.85571,-3.04E-06,128298.0906,4.73E-06,285622.2566,-3.28E-05,1079,YES,Constitution Hill,539915.8759
1080,2587.797101,2.00E-07,63376.76505,4.25E-06,189396.8836,2.08E-05,1080,YES,Pendle Hill High School,699131.2533
1081,29735.58054,2.65E-06,133878.9082,-1.73E-05,301886.3054,-4.38E-05,1081,YES,Parabianga Reserve,626831.8615
1082,13667.93916,-4.00E-07,130613.3552,-3.43E-05,439069.8818,3.30E-05,1082,YES,Pendle Hill Station_North,567137.4431
1083,5342.665958,1.50E-07,90719.8238,2.84E-06,240505.9798,4.77E-05,1083,YES,Wentworthville,825904.2074
1084,42968.02942,-1.75E-06,137098.4346,-3.28E-05,671734.7762,7420.443421,1084,YES,Wentworthville Station_North,556184.6238
1085,83164.01821,-1.94E-06,402005.6491,1.70E-05,1149879.649,972.8038177,1085,YES,Parramatta CBD_Angus Ln and Union St,41676.88606
1087,8995.972196,-5.00E-07,105113.0154,-5.17E-06,302046.6014,-1.08E-05,1087,YES,Baulkham Hills_Asquith Av and Melbourne Rd,666899.1645
1088,22888.5128,4.86E-06,162301.407,4.05E-05,516162.6908,3.73E-05,1088,YES,Winston Heights Primary School,1606202.382
1089,9321.129048,-4.00E-07,126351.9168,-2.75E-05,395033.1035,3.47E-05,1089,YES,Winston Hills_Timbergetters Reserve,1024030.72
1090,4760.088232,0.00E+00,66196.15626,1.90E-06,195714.8714,3.62E-05,1090,YES,Winston Hills_Reilleys Rd and Barnetts Rd,1043421.482
1091,6340.888151,-1.00E-07,74144.81882,1.77E-06,173450.6038,-5.30E-06,1091,YES,Camellia_Station East,448880.337
1092,3960.07888,-5.00E-07,17776.12566,-3.60E-06,94416.76371,-3.64E-06,1092,YES,Rosehill_Industrial Area_East,1770994.764
1093,96455.81372,-4.44E-06,332279.2568,4.50E-05,1227401.588,872.7429964,1093,YES,Rowland Hassall School,61157.20922
1095,91092.25404,3.89E-06,316106.7578,-3.44E-05,1160440.738,2202.913536,1095,YES,Parramatta_Marsden St and Great Western Highway,64701.47167
1096,4398.410905,-2.90E-07,53679.53622,-3.92E-06,259339.9004,-6.34E-06,1096,YES,Carlingford_Boundary Rd,171412.2607
1097,67483.72761,1.39E-06,229149.5015,-1.46E-05,1023423.477,2725.801283,1097,YES,Parramatta_Marsden St and Early St,97351.91617
1099,110121.1374,2.24E-05,357287.5481,-3.35E-05,1208211.254,5832.272932,1099,YES,Parramatta_Jubilee Park,95491.85684
1100,2858.844047,5.00E-07,20073.29839,4.83E-06,239452.2754,-3.69E-05,1100,YES,Beecroft_Murray Farm Rd and Carawatha St,861609.9338
1101,3313.768105,2.00E-07,37876.70518,2.61E-06,672629.8347,-3.94E-05,1101,YES,Murray Farm Primary School,1486333.346
1102,8166.460181,4.20E-07,42206.31354,-3.88E-06,387467.8244,-4.69E-05,1102,YES,Carlingford High School,1217671.33
1103,5714.535434,4.10E-07,25472.49168,2.73E-06,253860.9287,-8.85E-06,1103,YES,Carlingford,1337648.604
1104,4171.538123,2.10E-07,31122.77547,2.31E-06,215535.1543,-4.78E-05,1104,YES,Carlingford_Harold West Reserve,426856.1791
1105,9285.778055,1.00E-08,153550.1055,-2.50E-07,538656.5357,-9.79E-06,1105,YES,Carlingford Court,887140.1746
1106,9385.084807,-3.80E-07,100040.196,7.28E-06,342050.2021,-4.28E-05,1106,YES,Carlingford Station,261148.3033
1107,8622.879541,0.00E+00,71137.64748,6.20E-07,200528.5303,4.47E-05,1107,YES,Cumberland High School,1247402.861
1108,10018.25797,-1.70E-06,102222.0378,-1.07E-05,341611.0206,-1.59E-05,1108,YES,Carlingford_Marshall Rd and Kenny Pl,582782.7705
1109,6878.788188,-8.00E-08,39455.94977,-4.53E-06,274536.3805,4.49E-06,1109,YES,Dundas Valley_Orchard St and Dunlop St,777919.2455
1110,9535.373085,-3.80E-07,87366.24503,1.38E-06,325477.1832,-2.32E-05,1110,YES,Telopea_Calangara Park,166103.3829
1111,22162.80663,-4.93E-06,105768.3235,2.94E-05,278349.6205,3.58E-05,1111,YES,Dundas Station East,254691.6465
1112,37917.46775,9.70E-07,112609.9611,-1.15E-06,280567.9407,3.52E-05,1112,YES,Dundas Station West,163567.3107
1113,4740.53224,-1.00E-08,64926.03691,1.86E-06,222606.227,3.79E-05,1113,YES,Lottie Stewart Hospital,495355.4465
1114,2062.052122,4.60E-07,62343.52982,-2.45E-06,149140.2995,5.00E-08,1114,YES,St Patricks Marist College,973869.2202
1115,3286.241498,1.80E-07,56081.41762,3.95E-06,236506.8748,-2.52E-05,1115,YES,Ermington_Cowells Lane Reserve,713824.8106
1116,8834.240905,6.00E-08,87800.19343,1.85E-06,218257.7438,3.93E-05,1116,YES,Dundas,673736.2804
1117,24336.30355,-1.54E-06,90639.54348,-1.46E-06,251622.3281,4.91E-05,1117,YES,Western Sydney Parramatta Campus,220777.2959
1118,12532.6527,-3.60E-06,98635.01656,-4.85E-06,305816.8342,-3.22E-05,1118,YES,Ermington,848060.5514
1119,37904.54345,1.46E-06,107017.3871,-3.07E-05,271951.8034,3.86E-05,1119,YES,Dundas_Macquarie Boys High School,258575.3868
1120,20516.30472,2.46E-06,87923.73065,-4.45E-06,242043.3684,2.22E-05,1120,YES,Rydalmere Industrial Estate South,614928.4332
