num_opportunities,EMP_2016,ERP_2016,,
600,358476.5619,1436.253013,1.12E+02,
601,154627.2753,3357.915455,1.13E+02,
602,328399.3535,3370.899661,2.41E+02,
603,149384.2029,3306.36293,1.08E+02,
604,184477.1358,4246.706777,1.71E+02,
605,192936.333,2809.125173,1.18E+02,
606,153207.4037,2864.9511,9.56E+01,
607,72016.14748,1713.915258,2.69E+01,
608,73123.36909,4189.870633,6.67E+01,
609,625790.5291,2934.489672,4.00E+02,
610,301541.8746,1269.013158,8.33E+01,
611,773021.1403,3474.275445,5.85E+02,
612,542270.8624,3195.47453,3.77E+02,
613,794252.7212,2818.870227,4.87E+02,
614,504259.9724,1862.873811,2.05E+02,
615,567068.7821,3412.731785,4.21E+02,
616,268451.0156,0.000105442,6.16E-06,
617,538125.9355,946.7740973,1.11E+02,
618,606883.2239,2732.47367,3.61E+02,
619,469484.6155,3341.57924,3.42E+02,
620,512226.6804,2086.514038,2.33E+02,
621,536789.084,2932.508341,3.43E+02,
622,482049.5054,1130.421881,1.19E+02,
624,67832.26323,2806.933987,4.15E+01,
625,61604.89234,1756.790345,2.36E+01,
626,3835.581352,1751.210111,1.46E+00,
627,50891.68923,2607.361208,2.89E+01,
628,49450.80787,2169.228841,2.34E+01,
629,50523.22728,4121.724933,4.53E+01,
630,47515.13594,1960.764054,2.03E+01,
631,42536.30022,2094.455807,1.94E+01,
632,31227.07346,2658.483962,1.81E+01,
633,33280.22568,2347.967828,1.70E+01,
634,20582.93308,770.0788126,3.45E+00,
635,2656.080416,0.000112281,6.49E-08,
636,407756.9253,2509.102249,2.23E+02,
637,431063.7522,3839.253404,3.60E+02,
638,91931.68838,2897.230666,5.80E+01,
639,58068.45914,1624.390985,2.05E+01,
640,191680.3476,4261.859826,1.78E+02,
641,75046.13917,3427.2761,5.60E+01,
642,139304.7448,1963.641114,5.96E+01,
643,73876.64208,3018.346944,4.86E+01,
644,97428.53608,2470.46551,5.24E+01,
645,70807.9548,752.245656,1.16E+01,
646,54273.33149,3673.660808,4.34E+01,
