num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
107,681985.8491,5185.991076,1070963.461,28609.86063,1450881.403,16707.6353,107,YES,St James Station,193075.4495
108,479547.3153,4800.860288,854858.904,9930.126405,1276790.477,6541.019145,108,YES,Exhibition Centre_Darling Harbour,150505.3481
109,606152.3387,3.15E-05,1019048.326,3223.417016,1396045.555,3256.320566,109,YES,Millennium Towers,22973.25763
110,635787.7968,510.7633519,1079069.145,8888.329055,1462937.973,4340.050131,110,YES,Bathurst St and Kent St,20750.75601
111,705289.561,-4.06E-05,1147428.45,4067.095353,1525919.523,4340.050449,111,YES,Greater Union Cinema Centre,22793.48345
112,746292.4009,-3.73E-05,1176071.172,4707.043146,1547424.129,3649.486412,112,YES,Bathurst St and Pitt St,11404.28474
113,699229.3081,-4.50E-05,1121621.266,4881.54614,1493192.194,4340.050223,113,YES,Wilmot St and Pitt St,5237.621604
114,646199.4101,510.7633313,1090699.76,2523.60295,1462140.985,4340.050374,114,YES,Court Of Petty Sessions,15263.08821
115,679966.5086,-7.74E-06,1062495.635,4468.997808,1441018.446,3348.846982,115,YES,Bathurst St and Castlereagh St,21789.64453
116,695264.4258,-3.35E-05,1082534.106,5108.945304,1459050.015,2902.528322,116,YES,Bathurst St and Elizabeth St,15744.04239
117,584761.9934,2.70E-05,977111.7454,2883.242113,1348966.636,1631.72827,117,YES,Liverpool St and Sussex,19668.80926
118,632272.4081,-1.41E-05,1036030.019,1927.49417,1418951.097,4340.050013,118,YES,Liverpool St and George,19684.19281
119,663612.8656,2.30E-05,1038420.978,2797.052031,1421717.565,3649.487089,119,YES,World Square Sydney,26149.04053
120,663586.3616,-1.67E-05,1015359.84,4881.545918,1405286.09,3866.945509,120,YES,Masonic Centre,16347.60654
121,679236.8402,-5.84E-06,1059976.821,8107.489482,1451094.687,3074.945864,121,YES,Sydney CBD_Downing Centre,10757.60982
122,668175.5527,64.51954746,1031419.366,18050.31649,1433666.771,7664.429878,122,YES,Liverpool St and Nithsdale St,13472.45923
123,626318.1718,8253.275301,978561.1529,31992.65182,1386317.465,31198.89932,123,YES,Liverpool St and Commonweath St,15796.49971
124,614657.8192,27826.60861,960189.3779,51546.42459,1355654.39,49732.12634,124,YES,Liverpool St and Wentworth St,10162.97601
125,549709.1881,1.01E-05,933838.6197,2628.759042,1327194.198,5208.988812,125,YES,Entertainment Centre,53119.8559
126,577774.506,1.21E-05,942037.4607,2628.75904,1333285.613,1414.269091,126,YES,Holiday Inn_Chinatown,14490.35532
127,617046.8799,104.7316937,1016686.696,777.9982659,1382263.262,4340.050447,127,YES,Sussex Centre_Chinatown,8467.153021
