num_opportunities,EMP_2016,L2&L3,Marginal,Base,Net to Base,ERP,,
231,161914.2738,161914.2738,4.54E-05,161914.2738,4.54E-05,2661.349366,9.38E+01,
232,237218.9607,237218.9607,2.61E-05,237218.9607,2.61E-05,1745.419444,9.02E+01,
233,210765.9815,210765.9815,3.27E-05,210765.9815,3.27E-05,2017.405038,9.26E+01,
236,140646.4762,140646.4762,4.40E-05,140646.4762,4.40E-05,1422.957496,4.36E+01,
237,86075.25801,86075.25801,4.10E-06,86075.25801,4.10E-06,1643.675357,3.08E+01,
238,95617.40411,95617.40411,1.60E-06,95617.40411,1.60E-06,342.8875586,7.14E+00,
239,334482.4059,334482.4059,2.08E-05,334482.4059,2.08E-05,625.9179253,4.56E+01,
240,551352.1367,549104.1461,2247.990555,549104.1461,2247.990555,1301.419214,1.56E+02,
241,99051.17357,99051.17357,1.14E-06,99051.17357,1.14E-06,1628.008541,3.51E+01,
242,192899.9613,192899.9613,-3.31E-05,192899.9613,-3.31E-05,2617.974598,1.10E+02,
243,213602.5096,213602.5096,-6.06E-06,213602.5096,-6.06E-06,1173.830968,5.46E+01,
244,545795.6509,545795.6509,1.84E-05,545795.6509,1.84E-05,553.0395378,6.57E+01,
245,307154.0562,307154.0562,-2.77E-05,307154.0562,-2.77E-05,2212.322931,1.48E+02,
246,258574.8255,258574.8255,-2.72E-05,258574.8255,-2.72E-05,1917.14988,1.08E+02,
247,321713.114,321713.114,1.69E-05,321713.114,1.69E-05,1191.479637,8.35E+01,
248,360390.4322,360390.4322,4.12E-05,360390.4322,4.12E-05,1636.834087,1.28E+02,
249,364607.7169,364607.7169,-1.15E-05,364607.7169,-1.15E-05,1571.425648,1.25E+02,
250,126703.4738,126703.4738,-2.13E-05,126703.4738,-2.13E-05,1418.779207,3.91E+01,
251,73531.84092,73531.84092,2.56E-06,73531.84092,2.56E-06,3283.828509,5.26E+01,
252,110316.3572,110316.3572,-4.47E-05,110316.3572,-4.47E-05,1812.468904,4.35E+01,
253,57746.27346,57746.27346,-4.60E-06,57746.27346,-4.60E-06,2197.184302,2.76E+01,
254,452590.2474,452590.2474,-2.59E-05,452590.2474,-2.59E-05,755.8512121,7.45E+01,
255,322396.6794,322396.6794,3.86E-05,322396.6794,3.86E-05,1102.50463,7.74E+01,
256,191964.511,191964.511,-4.88E-05,191964.511,-4.88E-05,1326.111275,5.54E+01,
257,93446.28139,93446.28139,2.01E-06,93446.28139,2.01E-06,1462.122678,2.97E+01,
258,204693.901,204693.901,-4.36E-05,204693.901,-4.36E-05,2632.802691,1.17E+02,
259,90204.0012,90204.0012,4.43E-06,90204.0012,4.43E-06,1728.913998,3.40E+01,
260,79086.84443,79086.84443,4.04E-06,79086.84443,4.04E-06,1491.125109,2.57E+01,
261,61089.34445,61089.34445,3.40E-06,61089.34445,3.40E-06,2561.214821,3.41E+01,
262,94947.28603,94947.28603,5.10E-07,94947.28603,5.10E-07,1202.100878,2.49E+01,
263,54043.05679,54043.05679,2.60E-06,54043.05679,2.60E-06,9.96E-05,1.17E-06,
264,337818.1731,337505.4331,312.7400407,337505.4331,312.7400407,9.96E-05,7.33E-06,
265,47060.56599,47060.56599,-1.68E-06,47060.56599,-1.68E-06,30.00261394,3.07E-01,
266,76903.59664,76903.59664,-3.97E-06,76903.59664,-3.97E-06,9.96E-05,1.67E-06,
267,43515.82652,43515.82652,2.84E-06,43515.82652,2.84E-06,780.0654966,7.39E+00,
268,207485.7146,207485.7146,-4.86E-05,207485.7146,-4.86E-05,1428.763101,6.45E+01,
270,372024.9118,371603.5165,421.3952834,371603.5165,421.3952834,2268.788629,1.84E+02,
271,386853.9118,386853.9118,1.15E-06,386853.9118,1.15E-06,1856.692116,1.56E+02,
272,146451.0923,146451.0923,-9.80E-07,146451.0923,-9.80E-07,686.927444,2.19E+01,
273,155405.3193,155405.3193,-4.76E-05,155405.3193,-4.76E-05,4770.646254,1.61E+02,
274,327176.9363,327176.9363,-3.77E-05,327176.9363,-3.77E-05,1222.797266,8.71E+01,
275,241638.8063,241638.8063,-4.77E-05,241638.8063,-4.77E-05,674.8881531,3.55E+01,
276,89936.18254,89936.18254,-3.12E-06,89936.18254,-3.12E-06,2632.172885,5.15E+01,
277,264170.8058,264170.8058,5.91E-06,264170.8058,5.91E-06,1461.757628,8.41E+01,
278,77731.7034,77731.7034,2.68E-06,77731.7034,2.68E-06,3054.493426,5.17E+01,
279,418131.7953,418131.7953,-6.79E-06,418131.7953,-6.79E-06,0.00010416,9.48E-06,
280,62849.98267,62849.98267,-1.72E-06,62849.98267,-1.72E-06,3371.402158,4.61E+01,
281,140439.4526,140439.4526,1.12E-05,140439.4526,1.12E-05,1027.829607,3.14E+01,
282,48231.63153,48231.63153,-2.60E-06,48231.63153,-2.60E-06,1062.217232,1.12E+01,
283,164759.8951,164759.8951,-4.67E-05,164759.8951,-4.67E-05,1100.8175,3.95E+01,
284,170373.0402,170373.0402,-4.54E-05,170373.0402,-4.54E-05,1099.528193,4.08E+01,
285,106466.5851,106466.5851,4.12E-05,106466.5851,4.12E-05,711.1931635,1.65E+01,
286,39230.60469,39230.60469,4.91E-06,39230.60469,4.91E-06,2441.284112,2.09E+01,
287,76483.9238,76483.9238,4.33E-06,76483.9238,4.33E-06,948.8427096,1.58E+01,
288,50830.04846,50830.04846,2.73E-06,50830.04846,2.73E-06,879.5960968,9.73E+00,
289,53395.36063,53395.36063,-4.64E-06,53395.36063,-4.64E-06,612.2937588,7.12E+00,
290,44091.15162,44091.15162,-4.94E-06,44091.15162,-4.94E-06,1100.8175,1.06E+01,
