num_opportunities,EMP_2016,T2&T3,Marginal,Base,Net to Base,ERP,,
158,813082.6189,813082.6189,-2.66E-06,813082.6189,-2.66E-06,3283.296511,5.81E+02,
159,844765.8293,844765.8293,-2.77E-06,844019.1415,746.6877972,1500.507026,2.76E+02,
160,935684.5107,935684.5107,-2.57E-05,932969.7093,2714.801374,875.2958609,1.78E+02,
161,1172954.585,1172954.585,0.00018009,1172954.585,0.00018009,106.3106535,2.72E+01,
162,1127352.547,1125305.218,2047.328523,1125072.894,2279.652523,156.4057365,3.84E+01,
163,572403.4644,572403.4644,3.55E-05,572403.4644,3.55E-05,4206.023084,5.24E+02,
164,637800.9637,637800.9637,1.64E-05,637800.9637,1.64E-05,400.996756,5.57E+01,
165,752523.5449,752523.5449,-4.22E-05,752523.5449,-4.22E-05,1920.097246,3.15E+02,
166,675012.2709,675012.2709,2.09E-05,675012.2709,2.09E-05,1941.237516,2.85E+02,
167,611072.9293,611072.9293,6.56E-06,611072.9293,6.56E-06,3317.857257,4.41E+02,
168,927508.6658,926535.1315,973.5342826,926535.1315,973.5342826,962.3629579,1.94E+02,
169,850222.6832,850222.6832,2.28E-05,850222.6832,2.28E-05,988.023129,1.83E+02,
170,865039.95,865039.95,-3.33E-06,865039.95,-3.33E-06,1398.124242,2.63E+02,
171,914735.3845,914735.3845,1.48E-05,914735.3845,1.48E-05,2755.475013,5.49E+02,
172,796820.1532,796820.1532,4.17E-05,796820.1532,4.17E-05,855.8816531,1.48E+02,
173,693439.7548,693439.7548,2.93E-06,693439.7548,2.93E-06,4026.921145,6.08E+02,
174,1120177.749,1120177.749,-0.00039024,1120177.749,-0.00039024,0.00010299,2.51E-05,
175,840354.0061,837568.9292,2785.07694,837568.9292,2785.07694,416.7384014,7.63E+01,
176,971533.0973,969485.7691,2047.328232,969485.7691,2047.328232,396.9347117,8.40E+01,
177,963554.9498,957222.2668,6332.682992,957222.2668,6332.682992,431.3345821,9.05E+01,
178,917518.4873,917518.4873,-1.87E-05,917518.4873,-1.87E-05,1694.388197,3.38E+02,
179,861392.5608,861392.5608,1.96E-05,861392.5608,1.96E-05,2088.573095,3.92E+02,
180,751716.5869,750599.9176,1116.669251,750599.9176,1116.669251,3215.932292,5.26E+02,
181,953044.2619,931861.7798,21182.48209,931861.7798,21182.48209,154.03312,3.20E+01,
182,890693.3831,885604.8568,5088.526261,885604.8568,5088.526261,1785.965084,3.46E+02,
183,816796.8017,810270.2464,6526.555273,810270.2464,6526.555273,559.8478427,9.96E+01,
184,889323.8976,885742.2654,3581.632157,885742.2654,3581.632157,733.0218813,1.42E+02,
185,860275.9979,839948.9024,20327.09554,838850.5736,21425.42434,765.2307928,1.43E+02,
186,717114.4309,715590.8891,1523.541831,715590.8891,1523.541831,1401.717228,2.19E+02,
187,946665.8086,944944.0027,1721.805936,944944.0027,1721.805936,463.5074394,9.55E+01,
188,943975.1654,939626.6177,4348.54772,939626.6177,4348.54772,2082.78879,4.28E+02,
189,962130.8914,956761.3842,5369.507172,956348.8359,5782.055472,335.5002462,7.03E+01,
190,899527.0789,896963.6988,2563.380051,896551.1505,2975.928351,18.65157149,3.65E+00,
191,880482.7026,876823.6036,3659.098978,876823.6036,3659.098978,276.4288708,5.30E+01,
192,1011624.827,1009534.624,2090.20331,1009040.707,2584.12031,779.0516504,1.72E+02,
193,944149.7179,943176.1837,973.534201,942763.6354,1386.082501,1397.851554,2.87E+02,
194,1136507.063,1135966.077,540.9857911,1133185.816,3321.246791,0.058064883,1.44E-02,
195,1005523.702,1004550.167,973.5345141,1004056.251,1467.450514,768.4921023,1.68E+02,
196,869781.817,856049.219,13732.59796,855608.0319,14173.78506,2570.008504,4.87E+02,
197,1148754.76,1148754.76,0.00029652,1145572.598,3182.162297,596.508066,1.49E+02,
198,998040.1268,998040.1268,-2.42E-05,994672.0501,3368.076676,1190.290257,2.59E+02,
199,861129.025,857905.8819,3223.143087,855397.5355,5731.489487,2572.946921,4.82E+02,
200,1023911.808,1023370.822,540.9864036,1023370.822,540.9864036,19.59265067,4.37E+00,
201,982176.2599,982176.2599,6.06E-06,979167.3079,3008.952006,3319.60921,7.10E+02,
202,863805.0702,863473.3238,331.7464052,860464.3718,3340.698405,1818.221543,3.42E+02,
205,952025.2858,952025.2858,2.36E-05,944485.761,7539.524824,1176.268199,2.44E+02,
206,868228.8316,868228.8316,-2.57E-05,867482.1437,746.6878743,3788.913002,7.16E+02,
207,835511.5687,835511.5687,4.69E-05,829655.3863,5856.182447,3293.28886,5.99E+02,
208,1087175.432,1087175.432,-0.0002791,1086530.559,644.8727209,0.000106658,2.52E-05,
209,899219.82,899219.82,3.24E-05,899219.82,3.24E-05,888.3124827,1.74E+02,
210,1060575.365,1060575.365,-0.00034009,1058987.725,1587.63966,1051.113321,2.43E+02,
211,1060645.676,1060645.676,-0.00011036,1053177.377,7468.29889,880.1982681,2.03E+02,
212,929535.2245,929535.2245,-2.12E-05,928431.3596,1103.864879,2241.42511,4.54E+02,
213,866398.3033,866398.3033,-3.92E-05,866398.3033,-3.92E-05,732.4879464,1.38E+02,
214,798901.6283,798583.8383,317.7899521,798583.8383,317.7899521,1761.467124,3.06E+02,
215,1140933.739,1140392.753,540.9863064,1140160.429,773.3103064,1537.885857,3.82E+02,
216,891529.7511,891529.7511,1.79E-05,891529.7511,1.79E-05,178.2657128,3.46E+01,
217,1021960.872,1021960.872,0.00036041,1016032.284,5928.58836,422.0436021,9.39E+01,
218,912965.6115,912965.6115,-3.64E-05,912218.9236,746.6878636,1438.397717,2.86E+02,
219,887833.2277,887833.2277,3.96E-05,887833.2277,3.96E-05,1533.723374,2.96E+02,
220,807270.1403,806620.604,649.5362764,806126.6872,1143.453076,880.3732715,1.55E+02,
221,721273.9635,721273.9635,-5.08E-06,721273.9635,-5.08E-06,1456.997777,2.29E+02,
222,913641.9456,913641.9456,-2.45E-05,913641.9456,-2.45E-05,0.000106658,2.12E-05,
223,680273.521,679660.281,613.2400087,679660.281,613.2400087,524.8379544,7.77E+01,
224,1005583.494,1005583.494,-0.00035612,1004836.806,746.6876439,0.000106658,2.34E-05,
225,712812.4286,711902.1268,910.3017991,711902.1268,910.3017991,0.000106658,1.66E-05,
226,543596.4669,541348.4763,2247.990589,541348.4763,2247.990589,1780.474452,2.11E+02,
227,644588.6648,642340.6742,2247.990571,642340.6742,2247.990571,3008.323102,4.22E+02,
228,659577.4769,658704.7339,872.7429628,658704.7339,872.7429628,2692.316866,3.87E+02,
229,611497.5891,611497.5891,-2.09E-05,611497.5891,-2.09E-05,3334.655024,4.44E+02,
230,561528.5035,561528.5035,-2.06E-05,561528.5035,-2.06E-05,3590.056708,4.39E+02,
231,699212.4504,699212.4504,3.60E-06,699212.4504,3.60E-06,2661.349366,4.05E+02,
232,714453.2978,714453.2978,-3.63E-05,714453.2978,-3.63E-05,1745.419444,2.72E+02,
233,712997.0543,712997.0543,-3.71E-05,712997.0543,-3.71E-05,2017.405038,3.13E+02,
236,686757.8377,686204.7391,553.0986152,686204.7391,553.0986152,1422.957496,2.13E+02,
237,585019.6773,585019.6773,-2.94E-05,585019.6773,-2.94E-05,1643.675357,2.09E+02,
238,627906.3098,627293.0698,613.2400338,627293.0698,613.2400338,342.8875586,4.69E+01,
239,844420.6,844420.6,4.68E-06,844420.6,4.68E-06,625.9179253,1.15E+02,
240,1032614.411,1032614.411,7.03E-05,1031867.723,746.6880703,1301.419214,2.93E+02,
241,657214.6191,656601.3791,613.2399604,656601.3791,613.2399604,1628.008541,2.33E+02,
242,756214.9767,754482.2101,1732.766589,754482.2101,1732.766589,2617.974598,4.31E+02,
243,769607.5963,768350.1118,1257.484541,768350.1118,1257.484541,1173.830968,1.97E+02,
244,1027113.712,1027113.712,-0.00048564,1026367.024,746.6875144,553.0395378,1.24E+02,
245,815519.2774,814966.1787,553.0986708,814966.1787,553.0986708,2212.322931,3.93E+02,
246,817384.2214,816831.1227,553.0986571,816831.1227,553.0986571,1917.14988,3.41E+02,
247,822290.3525,821737.2539,553.0986263,821737.2539,553.0986263,1191.479637,2.13E+02,
248,847429.6161,846876.5175,553.0986179,846876.5175,553.0986179,1636.834087,3.02E+02,
249,865310.9583,863023.2048,2287.753509,863023.2048,2287.753509,1571.425648,2.96E+02,
250,742315.8145,741702.5745,613.2400042,741702.5745,613.2400042,1418.779207,2.29E+02,
251,721295.1056,720384.8038,910.3017827,720384.8038,910.3017827,3283.828509,5.16E+02,
252,626661.264,626661.264,2.51E-05,626661.264,2.51E-05,1812.468904,2.47E+02,
253,679591.8876,678978.6476,613.2400331,678978.6476,613.2400331,2197.184302,3.25E+02,
254,906733.7201,906733.7201,-2.15E-05,900877.5377,5856.182378,755.8512121,1.49E+02,
255,840665.8768,840665.8768,-4.76E-05,840665.8768,-4.76E-05,1102.50463,2.02E+02,
256,794095.8784,793542.7797,553.0986887,793542.7797,553.0986887,1326.111275,2.29E+02,
257,745329.0397,745329.0397,-4.94E-05,745329.0397,-4.94E-05,1462.122678,2.37E+02,
258,807479.7083,806926.6096,553.0986633,806926.6096,553.0986633,2632.802691,4.63E+02,
259,751995.5083,751085.2065,910.3017969,751085.2065,910.3017969,1728.913998,2.83E+02,
260,719881.798,719881.798,4.77E-05,719881.798,4.77E-05,1491.125109,2.34E+02,
261,658031.5517,658031.5517,-1.34E-05,658031.5517,-1.34E-05,2561.214821,3.67E+02,
262,721787.1079,720876.8061,910.3018103,720876.8061,910.3018103,1202.100878,1.89E+02,
263,631914.9489,631301.7089,613.2400179,631301.7089,613.2400179,9.96E-05,1.37E-05,
264,825936.5498,825936.5498,4.36E-05,825189.862,746.6878436,9.96E-05,1.79E-05,
265,596238.7338,596238.7338,1.11E-05,596238.7338,1.11E-05,30.00261394,3.89E+00,
266,563705.1588,563705.1588,4.32E-06,563705.1588,4.32E-06,9.96E-05,1.22E-05,
267,561299.3574,559051.3669,2247.990537,559051.3669,2247.990537,780.0654966,9.53E+01,
268,779230.3822,778677.2835,553.09867,778677.2835,553.09867,1428.763101,2.42E+02,
270,892077.0812,892077.0812,7.08E-06,892077.0812,7.08E-06,2268.788629,4.41E+02,
271,846914.1248,846914.1248,2.49E-05,846914.1248,2.49E-05,1856.692116,3.42E+02,
272,718656.1132,718656.1132,-2.77E-05,717909.4253,746.6878723,686.927444,1.07E+02,
273,712261.5601,712261.5601,3.92E-06,712261.5601,3.92E-06,4770.646254,7.40E+02,
274,836929.5922,836929.5922,2.33E-05,836929.5922,2.33E-05,1222.797266,2.23E+02,
275,790910.9427,790910.9427,-4.75E-05,790678.6186,232.3240525,674.8881531,1.16E+02,
276,667800.0535,667800.0535,8.12E-06,666701.7247,1098.328808,2632.172885,3.83E+02,
277,801619.9024,801619.9024,4.97E-05,801619.9024,4.97E-05,1461.757628,2.55E+02,
278,660676.9758,658944.2091,1732.76666,658944.2091,1732.76666,3054.493426,4.39E+02,
279,863418.3601,863418.3601,-1.11E-05,861999.4817,1418.878389,0.00010416,1.96E-05,
280,612531.9185,612531.9185,-1.30E-05,612531.9185,-1.30E-05,3371.402158,4.50E+02,
281,733222.4255,733222.4255,2.99E-05,732244.7344,977.6911299,1027.829607,1.64E+02,
282,584055.6945,583442.4545,613.2399948,582344.1257,1711.568795,1062.217232,1.35E+02,
283,745659.9461,745106.8474,553.0986587,745106.8474,553.0986587,1100.8175,1.79E+02,
284,737130.7267,737130.7267,-3.49E-05,736646.9522,483.7744651,1099.528193,1.76E+02,
285,686831.0539,686831.0539,4.74E-05,685853.3628,977.6911474,711.1931635,1.06E+02,
286,523833.7833,523833.7833,2.53E-05,522856.0922,977.6911253,2441.284112,2.78E+02,
287,641568.7532,641568.7532,-1.90E-05,641568.7532,-1.90E-05,948.8427096,1.33E+02,
288,540806.3478,540806.3478,-2.96E-05,540806.3478,-2.96E-05,879.5960968,1.04E+02,
289,513349.0297,513349.0297,-1.80E-07,512250.7009,1098.3288,612.2937588,6.84E+01,
290,417972.8476,417972.8476,-3.87E-05,417972.8476,-3.87E-05,1100.8175,1.00E+02,
291,879699.4991,879699.4991,3.98E-05,879699.4991,3.98E-05,299.9559998,5.75E+01,
292,813756.2062,813756.2062,-1.91E-05,812657.8774,1098.328781,440.2949646,7.80E+01,
300,389409.5069,389028.5244,380.9825166,389028.5244,380.9825166,2314.259039,1.96E+02,
301,218796.4788,218796.4788,-1.06E-05,218796.4788,-1.06E-05,1937.487865,9.23E+01,
302,193203.0752,193203.0752,-2.21E-05,193203.0752,-2.21E-05,2710.028616,1.14E+02,
303,451695.0152,451695.0152,1.19E-05,451695.0152,1.19E-05,1163.285346,1.14E+02,
304,510887.7776,510887.7776,-4.70E-05,510887.7776,-4.70E-05,3039.444658,3.38E+02,
305,707318.563,706445.82,872.7430316,706445.82,872.7430316,972.8453837,1.50E+02,
306,419269.6586,419269.6586,-3.86E-05,419269.6586,-3.86E-05,1454.954356,1.33E+02,
307,664353.3186,664353.3186,1.27E-05,664353.3186,1.27E-05,1460.411786,2.11E+02,
