num_opportunities,EMP_2016,,,,
410,119408.6172,5678.314404,113730.3028,109104.8062,4625.496627
411,485395.1166,9206.008035,476189.1086,421255.3222,54933.78637
412,68947.60692,5856.182408,63091.42451,63091.42451,0
413,307510.8104,283127.7752,24383.03526,24383.03526,0
414,63715.9144,2.21E-06,63715.9144,63715.9144,0
415,301299.57,283213.3787,18086.19138,18086.19138,0
416,37654.67769,598.5466399,37056.13105,37056.13105,0
417,30562.19727,20219.7839,10342.41337,10342.41337,0
418,89858.50416,-4.06E-06,89858.50416,89858.50416,0
420,44315.05529,-4.65E-06,44315.05529,44315.05529,0
421,14957.6157,-2E-07,14957.6157,14957.6157,0
422,15834.49255,1.8E-06,15834.49255,15834.49255,0
423,13972.00595,2.99999E-07,13972.00595,13591.73974,380.2662073
424,14954.6988,-4.9E-06,14954.6988,14954.6988,0
425,14279.8513,3.5E-06,14279.8513,14279.8513,0
426,15190.8697,-1.1E-06,15190.8697,15190.8697,0
428,9693.814308,-3E-07,9693.814308,9693.814308,0
429,8396.657101499999,0,8396.657101499999,8396.657101499999,0
430,4668.5314690000005,0,4668.5314690000005,4668.5314690000005,0
433,174934.8696,60314.07082,114620.7988,109995.3022,4625.496627
434,31769.47259,8915.51595,22853.95664,22853.95664,0
435,3402.1453020000004,0,3402.1453020000004,3402.1453020000004,0
500,64866.16198,-2.42E-06,64866.16198,64866.16198,0
501,30413.22029,2.99999E-07,30413.22029,30413.22029,0
502,36334.55147,3.1E-06,36334.55147,36334.55147,0
503,26050.3985,3.1E-06,26050.3985,26050.3985,0
504,25701.54947,3E-06,25701.54947,25701.54947,0
505,31763.556064099997,0,31763.556064099997,31763.556064099997,0
508,18431.46105,-3.7E-06,18431.46105,18431.46105,0
509,18845.24937,-4.2E-06,18845.24937,18845.24937,0
510,18570.2611,7.00002E-07,18570.2611,18570.2611,0
511,27598.16689,4.9E-06,27598.16689,27598.16689,0
512,24975.75513,4.8E-06,24975.75513,24975.75513,0
513,22105.32417,6.00001E-07,22105.32417,22105.32417,0
514,23988.75682,3.9E-06,23988.75682,23988.75682,0
517,505109.7609,-3.5E-05,505109.7609,505109.7609,0
518,305243.808,4.838E-05,305243.808,305243.808,0
519,168017.5343,4.768E-05,168017.5343,168017.5343,0
520,215741.1554,-1.132E-05,215741.1554,215741.1554,0
521,110364.0265,-3.572E-05,110364.0265,110364.0265,0
522,47779.04943,1E-06,47779.04943,47779.04943,0
523,56643.79594,-4E-06,56643.79594,56643.79594,0
524,34616.19043,2.7E-06,34616.19043,34616.19043,0
525,396580.5697,1.396E-05,396580.5697,396580.5697,0
527,16785.71521,4.2E-06,16785.71521,16785.71521,0
530,14753.63547,3.7E-06,14753.63547,14753.63547,0
531,120796.74465487999,0,120796.74465487999,120796.74465487999,0
532,33297.34064,-5E-06,33297.34064,33297.34064,0
533,18253.93781,4.8E-06,18253.93781,18253.93781,0
534,343835.8083,-4.354E-05,343835.8083,343835.8083,0
535,94243.14884,1.08E-06,94243.14884,94243.14884,0
536,200645.52727207998,0,200645.52727207998,200645.52727207998,0
537,444844.6376,-2.26E-05,444844.6376,444844.6376,0
538,15733.54769,1.2E-06,15733.54769,15733.54769,0
539,503027.8145,2.05E-05,503027.8145,503027.8145,0
540,10752.94736,1.1E-06,10752.94736,10752.94736,0
541,288456.4343,-1.652E-05,288456.4343,288456.4343,0
542,31867.56312,3.1E-06,31867.56312,31867.56312,0
543,24679.21497,-4.3E-06,24679.21497,24679.21497,0
544,24217.01169,-4E-06,24217.01169,24217.01169,0
545,36291.22748,2.00002E-07,36291.22748,36291.22748,0
548,6632.596415,-3E-07,6632.596415,6632.596415,0
549,6319.232767,-4E-07,6319.232767,6319.232767,0
550,19062.92717,5E-07,19062.92717,19062.92717,0
551,8137.571854,-5E-07,8137.571854,8137.571854,0
554,178435.1173,-2.834E-05,178435.1173,178435.1173,0
555,297712.7162,3.526E-05,297712.7162,297712.7162,0
556,402571.5979,1.59E-05,402571.5979,402571.5979,0
557,227066.4277,2.756E-05,227066.4277,227066.4277,0
558,303165.2181,-1.974E-05,303165.2181,303165.2181,0
559,394301.3813,-6.53003E-06,394301.3813,394301.3813,0
560,206737.0978,-3.624E-05,206737.0978,206737.0978,0
561,242560.9741,-3.054E-05,242560.9741,242560.9741,0
562,283675.4516,1.976E-05,283675.4516,283675.4516,0
563,340554.2502,-2.104E-05,340554.2502,340554.2502,0
564,84255.66259,2.79993E-07,84255.66259,84255.66259,0
565,142798.0103,9.19E-06,142798.0103,142798.0103,0
566,168280.9708,-3.831E-05,168280.9708,168280.9708,0
567,88993.96962,-3.04E-06,88993.96962,88993.96962,0
570,1746.533132,-4E-07,1746.533132,1746.533132,0
571,4219.406737,3E-07,4219.406737,4219.406737,0
572,5662.193709,2E-07,5662.193709,5662.193709,0
573,9370.568323,2E-07,9370.568323,9370.568323,0
574,10147.71408,-4.2E-06,10147.71408,10147.71408,0
575,3235.722042,0,3235.722042,3235.722042,0
577,100875.2743,4.088E-05,100875.2743,100875.2743,0
578,180165.151,-1.914E-05,180165.151,180165.151,0
579,340741.1668,-2.292E-05,340741.1668,340741.1668,0
580,103161.0335,-4.082E-05,103161.0335,103161.0335,0
600,36623.220020400004,0,36623.220020400004,36623.220020400004,0
601,19013.9567,6.00001E-07,19013.9567,19013.9567,0
602,31121.91487,-2.1E-06,31121.91487,31121.91487,0
603,17824.36643,6.00001E-07,17824.36643,17824.36643,0
604,31793.69648,-3.99999E-07,31793.69648,31793.69648,0
605,33606.65756,-3.7E-06,33606.65756,33606.65756,0
606,29044.1491,-4.5E-06,29044.1491,29044.1491,0
607,18539.38242,4.4E-06,18539.38242,17435.51754,1103.86488
